"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2018 - Next Release Date July 27, 2018"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Residential",9.538,10.340,10.477,10.736,11.505,11.821,11.906,11.955,12.203,12.514,12.547,12.517,12.553,12.639,12.658,12.678,12.579,12.677,13.033,13.505,13.970,14.709,15.743,16.249,17.190,18.236,19.856,21.907,23.933,25.483,28.084,31.533,35.094,38.880,42.026,44.280,45.328,46.671,47.953,50.068,52.234,54.052,55.819,57.105,57.848,58.561,60.945,63.150,65.408,66.812,68.424,70.229,72.860,76.093,79.705,81.679,85.549,91.546,98.103,103.821,105.176,103.647,100.000,99.645,100.395,101.324,106.393,112.854,115.883,120.157,125.028
"21","    Structures",9.207,9.987,10.130,10.385,11.130,11.443,11.527,11.579,11.829,12.147,12.182,12.155,12.181,12.268,12.292,12.318,12.223,12.323,12.680,13.153,13.616,14.345,15.370,15.868,16.804,17.848,19.468,21.500,23.486,25.016,27.611,31.046,34.590,38.358,41.471,43.685,44.718,46.067,47.373,49.510,51.686,53.517,55.297,56.593,57.356,58.081,60.494,62.704,64.987,66.402,68.034,69.865,72.544,75.820,79.476,81.482,85.432,91.531,98.137,103.898,105.254,103.701,100.000,99.756,100.567,101.476,106.727,113.423,116.595,121.037,126.085
"22","        Permanent site",8.739,9.490,9.630,9.876,10.586,10.883,10.968,11.022,11.271,11.574,11.618,11.609,11.609,11.687,11.689,11.746,11.636,11.721,12.130,12.644,13.100,13.830,14.700,15.047,15.957,17.088,18.718,20.566,22.470,23.898,26.350,29.857,33.275,36.943,39.937,42.068,42.891,44.059,45.130,47.156,49.113,50.845,52.440,53.558,53.948,54.537,57.084,59.590,61.993,63.190,65.135,67.272,70.248,73.504,77.030,79.203,83.456,90.336,97.174,103.814,105.362,103.125,100.000,99.042,99.436,100.457,105.612,112.866,117.446,122.994,127.343
"23","            Single family","---","---","---","---","---","---","---","---","---","---","---",12.074,12.074,12.159,12.161,12.223,12.108,12.191,12.611,13.152,13.621,14.381,15.283,15.667,16.603,17.780,19.467,21.415,23.405,24.872,27.462,31.097,34.844,38.815,41.891,43.570,43.905,45.080,45.974,47.876,49.889,51.735,53.637,55.091,55.370,55.930,58.671,61.411,63.984,65.158,67.048,68.807,71.935,75.258,79.052,81.237,85.748,93.073,100.109,106.478,107.582,104.244,100.000,98.382,99.086,99.935,105.449,113.285,116.093,121.312,126.472
"24","            Multifamily","---","---","---","---","---","---","---","---","---","---","---",10.427,10.427,10.473,10.478,10.521,10.422,10.511,10.892,11.339,11.762,12.413,13.200,13.472,14.307,15.319,16.794,18.410,20.093,21.461,23.465,26.684,28.968,31.772,34.523,37.691,39.767,40.909,42.467,44.855,46.623,47.866,48.000,47.486,48.488,49.320,50.402,50.917,52.188,53.626,56.043,60.866,62.957,65.959,67.798,70.024,72.705,76.744,82.631,91.645,95.975,98.839,100.000,102.451,100.473,102.616,105.684,110.007,122.490,129.428,130.443
"25","        Other structures7",9.941,10.753,10.894,11.158,11.953,12.290,12.366,12.405,12.642,12.980,12.992,12.924,13.015,13.121,13.190,13.142,13.091,13.224,13.432,13.788,14.248,14.951,16.288,17.097,18.050,18.823,20.318,22.681,24.771,26.439,29.232,32.429,36.113,39.979,43.230,45.537,46.866,48.499,50.176,52.454,54.943,56.901,58.938,60.485,61.758,62.664,64.890,66.689,68.803,70.500,71.723,73.162,75.448,78.741,82.564,84.350,87.912,92.981,99.265,103.854,104.979,104.086,100.000,100.134,101.157,102.007,107.313,113.608,115.737,119.346,124.934
"26","    Equipment",56.480,59.679,57.669,57.419,61.409,61.251,61.080,60.073,58.300,55.855,55.339,54.500,56.761,56.138,55.123,53.919,53.000,52.457,51.355,50.568,50.669,51.754,52.924,53.952,54.828,55.008,55.343,58.765,64.412,67.692,69.871,73.256,77.454,82.491,88.444,93.896,96.232,97.003,96.419,96.920,98.295,99.269,100.174,100.914,100.481,100.396,100.930,102.845,103.168,103.716,103.588,102.984,101.337,101.074,101.121,100.486,97.669,95.024,97.532,99.748,101.083,100.946,100.000,94.723,92.943,94.735,91.374,87.060,83.556,80.071,77.042
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","    Private fixed investment in structures",7.990,8.753,8.818,9.001,9.786,10.055,10.179,10.155,10.369,10.891,11.115,11.021,11.060,11.101,11.085,11.135,11.122,11.240,11.567,11.991,12.389,13.033,13.930,14.601,15.582,16.614,18.030,20.183,22.308,23.593,25.873,28.799,32.112,35.358,39.304,41.998,41.818,42.636,43.749,45.186,46.632,48.420,50.154,51.529,52.334,52.712,54.644,56.615,58.825,60.190,61.993,64.129,66.400,69.246,72.701,74.987,78.322,84.006,91.354,98.478,101.504,102.938,100.000,99.284,101.187,103.653,107.441,113.459,116.116,118.631,122.846
"28","    Private fixed investment in new structures",7.801,8.547,8.611,8.790,9.559,9.822,9.944,9.919,10.128,10.643,10.868,10.774,10.813,10.852,10.835,10.884,10.875,10.995,11.321,11.739,12.132,12.766,13.623,14.291,15.258,16.271,17.651,19.771,21.881,23.113,25.288,28.113,31.315,34.484,38.433,41.093,40.810,41.529,42.510,43.734,44.929,46.647,48.297,49.672,50.466,50.791,52.609,54.426,56.636,57.961,59.871,62.026,64.307,67.021,70.260,72.551,75.786,81.742,89.200,96.905,100.384,102.577,100.000,99.416,101.963,104.673,107.820,113.425,115.805,117.928,121.730
