gvkey,fyear,TFP
1043,1999,-.6437701
1044,1965,-.2609727
1044,1966,-.2672177
1045,1963,-.2007839
1045,1964,-.2304667
1045,1965,-.2334765
1045,1966,-.1879179
1045,1967,-.0194984
1045,1968,-.0892421
1045,1969,-.1628772
1045,1970,-.4363381
1045,1971,-.3521413
1045,1972,-.4214246
1045,1973,-.6011596
1045,1974,-.4977618
1045,1975,-.557453
1045,1976,-.3899291
1045,1977,-.29561
1045,1978,-.1596042
1045,1979,-.1150747
1045,1980,-.1961565
1045,1981,-.0840353
1045,1982,-.1276724
1045,1983,-.0003968
1045,1984,-.0757789
1045,1985,.0250197
1045,1986,.027394
1045,1987,-.0270134
1045,1988,.1213952
1045,1989,.1050235
1045,1990,.0176085
1045,1991,-.0960388
1045,1992,-.10766
1045,1993,-.1822226
1045,1994,-.0757643
1045,1995,-.1251752
1045,1996,.0141192
1045,1997,-.0135165
1045,1998,.0170428
1045,1999,-.1304093
1045,2003,-.4436164
1045,2004,-.3755913
1045,2005,-.4162777
1045,2006,-.3281676
1045,2007,-.3029825
1045,2008,-.4372289
1045,2009,-.6887476
1045,2010,-.5436277
1045,2011,-.5881689
1045,2012,-.3588165
1045,2013,-.2064335
1045,2014,.1120927
1045,2015,.1335268
1045,2016,.0913404
1049,1978,-.4280467
1049,1979,-.4448899
1049,1980,-1.249232
1050,2003,-.6738504
1050,2004,-.7592779
1050,2005,-.5961237
1050,2006,-.563091
1050,2007,-.3614675
1050,2008,-.5113598
1050,2009,-.6853566
1050,2010,-.7097979
1050,2011,-.381912
1050,2012,-.1576205
1050,2013,-.2469466
1050,2014,-.1971338
1050,2015,-.1338826
1050,2016,-.1909539
1051,1964,-.1068404
1051,1965,-.1129526
1051,1966,-.1697147
1054,1984,.3497039
1054,1985,.3093304
1054,1986,-.0955495
1054,1987,-.1312978
1054,1988,.049078
1054,1989,.0641144
1054,1990,-.2509285
1054,1991,-.1164896
1054,1992,-.0978597
1054,1993,-.3994878
1055,1987,.220571
1055,1988,.0254686
1055,1989,-.3523133
1055,1990,.1501124
1055,1991,.2388045
1055,1992,.120418
1055,1993,-.0649063
1055,1994,-.2763183
1055,1995,-1.453821
1056,1977,-.2836607
1056,1978,-.286143
1056,1979,-.2516688
1056,1980,-.4274472
1056,1981,-.1746953
1056,1982,-.1299157
1056,1983,-.1088095
1056,1984,-.154318
1056,1985,-.160286
1056,1986,-.1571161
1056,1987,-.2098193
1056,1988,-.3518858
1056,1989,-.5550572
1056,1990,-.3700783
1056,1991,-.7781306
1056,1992,-.4775859
1056,1993,-.5282468
1056,1994,-.500546
1056,1995,-.5229402
1056,1996,-.5432868
1056,1997,-.464984
1056,2000,-.4279877
1056,2001,.0003157
1056,2002,-.3709717
1056,2003,-.4541831
1056,2004,-.4091895
1056,2005,-.3720082
